precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
13,CLUJ,"CĂMINUL CULTURAL",512,"IZVORU CRIŞULUI",58204,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:38:13",186,175,0,10,1,102,91,0,10,1,91,11,193,91,23,4,35,26,3
13,CLUJ,"PRIMĂRIA COMUNEI",511,"IZVORU CRIŞULUI",58204,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:47:40",745,715,1,7,22,460,431,0,7,22,452,8,818,358,4,334,3,2,109
13,CLUJ,"ŞCOALA GENERALĂ",513,"IZVORU CRIŞULUI",58204,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:20:27",314,302,0,8,4,242,230,0,8,4,234,6,338,98,20,192,4,3,15
