precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PETROACĂ MARINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CRISTEA DĂNUŢ-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MOCANU ION-PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NĂSTURELU",214,NĂSTURELU,153400,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:42",1183,1166,0,11,6,799,782,0,11,6,778,21,1291,492,34,481,263
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ZIMNICELE",215,NĂSTURELU,153400,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:06:42",746,707,0,25,14,546,507,0,25,14,535,11,800,254,34,428,73
