precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KOVÁCS FERENC-PARTIDUL NAȚIONAL LIBERAL-voturi","BORDÁS ENIKŐ-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
15,COVASNA,"CĂMINUL CULTURAL LISNĂU",173,OZUN,64639,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:29:52",441,436,2,3,0,199,196,0,3,0,196,3,500,301,24,172
15,COVASNA,"CĂMINUL CULTURAL OZUN",170,OZUN,64639,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:43:08",941,929,3,0,9,403,394,0,0,9,386,17,1022,619,77,309
15,COVASNA,"CLĂDIREA CĂMINULUI CULTURAL BICFALĂU",172,OZUN,64639,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:11",314,302,4,2,6,168,160,0,2,6,155,13,300,132,4,151
15,COVASNA,"CLĂDIRE ADMINISTRATIVĂ (FOSTUL SEDIU AL ŞCOLII) LUNCA OZUNULUI",174,OZUN,64639,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:43:40",156,144,0,5,7,89,77,0,5,7,84,5,200,111,30,54
15,COVASNA,"CLĂDIREA FOSTEI BIBLIOTECI (CONACUL PÜNKÖSTI)",171,OZUN,64639,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:39",1187,1181,1,0,5,604,599,0,0,5,584,20,1300,696,110,474
15,COVASNA,"CLĂDIREA ȘCOLII ELEMENTARE",175,OZUN,64639,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:01:47",102,95,0,6,1,53,46,0,6,1,53,0,100,47,5,48
15,COVASNA,"ŞCOALA PRIMARĂ ”BERDE MOZSA” SÎNTIONLUNCA",176,OZUN,64639,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:27:12",624,615,0,3,6,295,286,0,3,6,288,7,700,405,18,270
