precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PRO ROMÂNIA-voturi"
32,"SATU MARE","PRIMARIA BÂRSĂU",135,BÂRSĂU,137103,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:37:06",1370,1269,0,58,43,964,863,0,58,43,904,60,1571,607,399,28,53,392,20,12
32,"SATU MARE","SEDIU ADMINISTRATIV",136,BÂRSĂU,137103,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 21:32:18",508,476,1,17,14,320,288,1,17,14,300,20,400,80,103,16,4,106,41,30
