precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RAITA GEORGE-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MANEA DORIN-CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BULIGA RĂDUCU-PARTIDUL PRO ROMÂNIA-voturi"
13,CLUJ,"CĂMINUL CULTURAL",570,NEGRENI,60169,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:39:55",1274,1256,2,11,5,901,885,0,11,5,875,26,1379,478,251,611,13
13,CLUJ,"CASA DE CULTURĂ",571,NEGRENI,60169,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:38:33",530,520,0,7,3,389,379,0,7,3,378,11,575,186,177,194,7
13,CLUJ,"SCOALA CU CLASELE I-IV",572,NEGRENI,60169,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:18:41",96,89,0,6,1,72,65,0,6,1,71,1,101,29,21,50,0
