precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIRON CONSTANTIN-DORU-PARTIDUL NAȚIONAL LIBERAL-voturi","HERBEI IOAN-NUŢU-PARTIDUL SOCIAL DEMOCRAT-voturi"
2,ARAD,"FOSTA ŞCOALĂ RĂNUŞA",319,MONEASA,11478,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:23:51",225,200,0,17,8,180,155,0,17,8,179,1,220,40,93,86
2,ARAD,"ȘCOALA GIMNAZIALĂ „GHEORGHE GROZA”",318,MONEASA,11478,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:51",679,541,4,109,25,526,390,2,109,25,515,11,590,64,294,221
