precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SCARLAT NICULAE-PARTIDUL SOCIAL DEMOCRAT-voturi","POPA GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","CUT SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
3,ARGEŞ,"CASA DE CULTURĂ ALBEŞTII DE ARGEŞ",189,"ALBEŞTII DE ARGEŞ",13819,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:48:31",1593,1581,3,8,1,937,927,1,8,1,906,31,1600,663,470,402,34
3,ARGEŞ,"ŞCOALA PRIMARĂ ALBEŞTII -UNGURENI",190,"ALBEŞTII DE ARGEŞ",13819,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:24",1001,994,1,5,1,582,576,0,5,1,563,19,1200,618,234,319,10
3,ARGEŞ,"ŞCOALA PRIMARĂ ALBEŞTII-UNGURENI",191,"ALBEŞTII DE ARGEŞ",13819,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:15",908,895,1,8,4,606,594,0,8,4,576,30,1200,594,216,351,9
3,ARGEŞ,"ŞCOALA PRIMARĂ BRĂTEŞTI",192,"ALBEŞTII DE ARGEŞ",13819,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:57",574,566,1,4,3,385,378,0,4,3,382,3,626,241,110,269,3
3,ARGEŞ,"SCOALA PRIMARĂ DOBROŢU",193,"ALBEŞTII DE ARGEŞ",13819,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:33",763,753,1,8,1,474,465,0,8,1,459,15,800,326,169,271,19
