precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PUCIUMANDEA IONUŢ-ALIN-PARTIDUL SOCIAL DEMOCRAT-voturi","PICU EMIL-PARTIDUL NAȚIONAL LIBERAL-voturi","MISIRGIC ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIOBANU MINEL-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ(ŞCOALA NOUĂ)",238,PIETROŞANI,153589,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:21",1112,1025,0,31,56,769,685,0,31,53,751,18,1126,357,245,431,71,4
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ(ŞCOALA VECHE)",237,PIETROŞANI,153589,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:03:00",928,866,1,24,37,676,614,1,24,37,663,13,1010,334,276,339,41,7
