precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi"
9,BRĂILA,"CASA DE CULTURĂ ROȘIORI",224,ROŞIORI,43812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:55:34",1155,1153,0,2,0,626,624,0,2,0,590,28,1331,686,213,255,98,24
9,BRĂILA,"ȘCOALA CU CLASELE I-VIII COLȚEA",225,ROŞIORI,43812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:23",786,783,0,3,0,395,392,0,3,0,374,21,800,405,121,226,10,17
