precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RADU CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BOGDAN ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NISTOR DORIN-GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"COLEGIUL NAŢIONAL ”LUCIAN BLAGA” SEBEŞ",103,"MUNICIPIUL SEBEŞ",1874,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:55",1602,1585,12,5,0,832,827,0,5,0,812,20,1748,916,91,156,565
1,ALBA,"COLEGIUL NAŢIONAL ”LUCIAN BLAGA” SEBEŞ",102,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:37:48",1234,1212,1,10,11,661,640,0,10,11,629,22,1348,697,95,124,410
1,ALBA,"LICEUL CU PROGRAM SPORTIV SEBEŞ",98,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:35",1393,1386,2,3,2,644,639,0,3,2,627,17,1560,916,86,119,422
1,ALBA,"LICEUL CU PROGRAM SPORTIV SEBEŞ",100,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:11:52",1278,1261,10,7,0,586,579,0,7,0,572,14,1408,822,103,129,340
1,ALBA,"LICEUL CU PROGRAM SPORTIV SEBEŞ",99,"MUNICIPIUL SEBEŞ",1874,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:31:24",1442,1410,8,16,8,697,672,1,16,8,678,19,1568,871,78,130,470
1,ALBA,"LICEUL TEHNOLOGIC SEBEŞ",97,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:54",1035,1021,2,12,0,470,458,0,12,0,459,11,1140,670,44,120,295
1,ALBA,"LICEUL TEHNOLOGIC SEBEŞ",96,"MUNICIPIUL SEBEŞ",1874,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:55:16",1072,1058,5,8,1,547,538,0,8,1,529,18,1164,617,86,184,259
1,ALBA,"LICEUL TEHNOLOGIC SEBEŞ",94,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:07",1495,1477,1,14,3,692,675,0,14,3,663,26,1636,945,19,122,522
1,ALBA,"LICEUL TEHNOLOGIC SEBEŞ",95,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:14:30",1626,1606,7,10,3,818,805,0,10,3,797,21,1780,962,99,182,516
1,ALBA,"ŞCOALA GIMNAZIALĂ LANCRĂM",108,"MUNICIPIUL SEBEŞ",1874,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:28",1437,1415,3,10,9,745,726,0,10,9,735,10,1568,823,39,119,577
