precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
39,VASLUI,"SALA DE EDUCAŢIE FIZICĂ ŞCOLARĂ GHERMĂNEŞTI",292,DRÂNCENI,163618,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:22:32",1571,1543,1,13,14,768,741,0,13,14,762,6,1729,945,310,50,332,24,46
39,VASLUI,"ŞCOALA GIMNAZIALĂ, SAT RÎŞEŞTI",294,DRÂNCENI,163618,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:02:33",1675,1660,2,6,7,787,774,0,6,7,757,30,1800,1013,407,24,268,51,7
39,VASLUI,"ŞCOALA PRIMARĂ, SAT DRÎNCENI",293,DRÂNCENI,163618,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:33:25",563,558,0,5,0,180,175,0,5,0,171,9,600,420,72,10,75,13,1
