precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MAXIM EMILIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BRÎNCĂ ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ANTON COSTICĂ-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
39,VASLUI,"CĂMIN CULTURAL VULTUREŞTI",532,VULTUREŞTI,166985,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:03:02",844,831,0,3,10,506,493,0,3,10,491,15,900,394,10,356,125
39,VASLUI,"CENTRU DE ZI PENTRU COPII BUHĂIEŞTI",533,VULTUREŞTI,166985,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:31",608,591,0,7,10,331,314,0,7,10,319,12,700,369,8,243,68
39,VASLUI,"GRADINITA CU PROGRAM NORMAL VOINEŞTI",534,VULTUREŞTI,166985,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:49:35",315,306,0,4,5,192,183,0,4,5,189,3,310,118,4,140,45
