precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KOVÁCS IMRE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
21,HARGHITA,"CAMINUL CULTURAL SATU MARE",227,"SATU MARE",86501,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:40:33",867,864,1,2,0,325,323,0,2,0,285,40,1000,675,285
21,HARGHITA,"CENTRUL DE INFORMARE TURISTICĂ",226,"SATU MARE",86501,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:16",763,760,3,0,0,464,463,1,0,0,428,36,800,336,428
