precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZAMFIR CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","DANDIŞ CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MITROFAN MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","HANŢĂ NICU-PARTIDUL PRO ROMÂNIA-voturi","CUCU IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
18,GALAŢI,"CĂMINUL CULTURAL SUCEVENI",402,SUCEVENI,77288,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:36",928,863,0,11,54,559,494,0,11,54,547,12,954,395,154,5,296,9,83
18,GALAŢI,"SCOALA GIMNAZIALĂ ROGOJENI",403,SUCEVENI,77288,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:06:48",424,399,0,10,15,257,232,0,10,15,251,6,460,203,51,8,162,3,27
