precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP CORINA-ANCA-PARTIDUL SOCIAL DEMOCRAT-voturi","LAR CORNEL-DOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POP DĂNUŢ-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","STRUGUREL IOSIF-VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","TODORAN SORIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
33,SĂLAJ,"PIATA AGROALIMENTARA ILEANDA",189,ILEANDA,141580,1,PART,PRCNCT,P,P_SV,"2024-06-10 19:16:24",952,937,1,13,1,621,607,0,13,1,605,16,1000,379,230,41,318,8,8
33,SĂLAJ,"ŞCOALA GENERALĂ",198,ILEANDA,141580,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:52:03",46,40,0,5,1,28,22,0,5,1,27,1,51,23,11,1,12,3,0
33,SĂLAJ,"ŞCOALA GENERALĂ",195,ILEANDA,141580,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:22:50",114,104,0,9,1,68,58,0,9,1,66,2,121,53,32,3,22,9,0
33,SĂLAJ,"ŞCOALA GENERALĂ",190,ILEANDA,141580,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:37:05",155,145,2,7,1,119,109,2,7,1,113,6,161,42,25,51,31,5,1
33,SĂLAJ,"ŞCOALA GENERALĂ",193,ILEANDA,141580,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:27:09",91,83,0,8,0,53,45,0,8,0,50,3,101,48,22,10,15,0,3
33,SĂLAJ,"ŞCOALA GENERALĂ",196,ILEANDA,141580,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:44:30",103,100,0,2,1,66,63,0,2,1,64,2,121,55,26,3,32,2,1
33,SĂLAJ,"ŞCOALA GENERALĂ",194,ILEANDA,141580,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:49:13",98,82,0,16,0,67,51,0,16,0,63,4,100,33,33,3,13,1,13
33,SĂLAJ,"ŞCOALA GENERALĂ",197,ILEANDA,141580,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:01:44",83,71,2,10,0,59,49,0,10,0,56,3,98,39,21,8,21,2,4
33,SĂLAJ,"ŞCOALA GENERALĂ DOLHENI",191,ILEANDA,141580,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:19:26",79,71,0,6,2,53,45,0,6,2,51,2,91,38,19,5,27,0,0
33,SĂLAJ,"ŞCOALA GENERALĂ LUMINIŞU",192,ILEANDA,141580,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:21:43",87,70,1,15,1,67,50,1,15,1,66,1,91,24,10,2,51,3,0
