precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","BĂRBULESCU CRISTIAN-VALENTIN-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL IZVORU BÎRZII",204,"IZVORU BÂRZII",112469,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:17:01",1172,1086,0,82,4,819,733,0,82,4,797,22,1182,363,46,442,263,42,1,3
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV BALOTEŞTI",205,"IZVORU BÂRZII",112469,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:34:21",522,498,0,24,0,321,297,0,24,0,311,10,544,223,24,103,148,14,8,14
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII HALÎNGA",206,"IZVORU BÂRZII",112469,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:05:03",723,672,0,50,1,522,471,0,50,1,507,15,820,298,20,133,315,7,29,3
