precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UDEANU GHEORGHE-ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VLAD COSMIN-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","IONIŢĂ FLORIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SĂNDULESCU AUREL-FORȚA DREPTEI-voturi"
30,OLT,"PRIMĂRIE,STR.PRIMĂRIEI,NR.8",167,CUNGREA,126503,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:31:40",717,644,2,55,16,496,424,1,55,16,482,14,740,244,44,374,58,6
30,OLT,"ŞCOALA GIMNAZIALĂ CEPEŞTI",168,CUNGREA,126503,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:34:31",609,582,1,22,4,468,441,1,22,4,455,13,704,236,14,321,70,50
30,OLT,"ŞCOALA GIMNAZIALĂ SPĂTARU",169,CUNGREA,126503,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:55",243,204,0,37,2,190,151,0,37,2,189,1,227,37,14,106,64,5
