precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PETRILA PETRONELA-voturi"
24,IAŞI,"CAMIN CULTURAL HALAUCESTI",485,HĂLĂUCEŞTI,97438,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:12",1342,1308,1,5,28,563,530,0,5,28,539,24,1400,837,59,337,47,68,6,3,19
24,IAŞI,"CAMIN CULTURAL HALAUCESTI",486,HĂLĂUCEŞTI,97438,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:25",1202,1157,0,4,41,627,582,0,4,41,558,24,1300,718,49,307,47,121,8,4,22
24,IAŞI,"GRADINITA CU PROGRAM NORMAL HALAUCESTI",487,HĂLĂUCEŞTI,97438,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:18:35",1471,1415,0,4,52,643,587,0,4,52,624,19,1600,957,67,390,50,94,4,6,13
24,IAŞI,"SCOALA GENERALA LUNCASI",488,HĂLĂUCEŞTI,97438,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:40:17",766,751,1,2,12,306,295,0,2,9,297,9,854,548,18,134,34,74,15,7,15
