precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
38,TULCEA,"CĂMINUL CULTURAL",182,"SLAVA CERCHEZĂ",161259,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:34:43",907,867,0,20,20,466,427,0,20,19,437,29,981,515,154,87,30,150,16
38,TULCEA,"CONSILIUL LOCAL",181,"SLAVA CERCHEZĂ",161259,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:23:27",979,936,0,30,13,480,437,0,30,13,445,35,1049,569,18,254,101,71,1
