precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VEREŞ VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","CUCUIET LENUŢA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
28,MUREŞ,"CĂMIN CULTURAL LEFAIA",327,CRĂIEŞTI,116340,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:46:09",48,43,0,5,0,41,36,0,5,0,41,0,50,9,39,2
28,MUREŞ,"CĂMIN CULTURAL MILAȘEL",328,CRĂIEŞTI,116340,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:36:57",142,132,1,5,4,100,91,0,5,4,96,4,150,50,92,4
28,MUREŞ,"PRIMARIA COMUNEI CRAIESTI",326,CRĂIEŞTI,116340,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:10",523,494,0,10,19,355,326,0,10,19,347,8,532,177,305,42
