precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BONEA VIKY-PARTIDUL SOCIAL DEMOCRAT-voturi","BUŢU ION-PARTIDUL NAȚIONAL LIBERAL-voturi","RISTOIU ION-ADI-FORȚA DREPTEI-voturi","GEBLESCU MIHAI-VIOREL-PARTIDUL S.O.S. ROMÂNIA-voturi"
17,DOLJ,"GRADINITA CURMATURA",367,GIURGIŢA,72533,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:22",413,401,1,9,2,260,248,1,9,2,239,21,500,240,148,56,28,7
17,DOLJ,"GRADINITA PORTARESTI",366,GIURGIŢA,72533,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:19:57",954,930,1,23,0,578,555,0,23,0,534,44,1000,422,247,274,6,7
17,DOLJ,"SCOALA GIMNAZIALA GIURGITA",365,GIURGIŢA,72533,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:35",951,930,0,18,3,629,608,0,18,3,593,36,985,356,330,238,4,21
