precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRÎŞMARU VIOREL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PĂDUREANU EMIL-LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ONEL IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”GENERAL AVIATOR INGINER GHEORGHE NEGRESCU” FRUNTIŞENI",316,FRUNTIŞENI,167231,2,PART,PRCNCT,P,P_SV,"2024-06-13 16:52:46",767,747,0,9,11,513,493,0,9,11,484,29,800,287,29,204,251
39,VASLUI,"ŞCOALA GIMNAZIALĂ GRĂJDENI",317,FRUNTIŞENI,167231,2,PART,PRCNCT,P,P_SV,"2024-06-13 15:59:37",654,619,0,22,13,430,395,0,22,13,415,15,720,290,96,17,302
