precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"LICEUL TEHNOLOGIC DE ELECTRONICĂ ŞI AUTOMATIZĂRI „CAIUS IACOB”",11,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:33:37",1221,1204,5,12,0,479,467,0,12,0,466,13,1370,891,57,52,10,94,105,7,18,116,7
2,ARAD,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ ARAD",91,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:47",1462,1438,15,9,0,561,552,0,9,0,542,19,1650,1089,62,89,15,64,121,24,28,121,18
2,ARAD,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ ARAD",92,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:27:08",841,823,12,6,0,305,299,0,6,0,295,10,990,685,52,20,7,55,64,11,5,71,10
2,ARAD,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO „HENRI COANDĂ”",89,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:37:37",935,920,11,4,0,370,366,0,4,0,362,8,1070,700,37,62,7,76,66,10,8,88,8
2,ARAD,"LICEUL TEHNOLOGIC „FRANCISC NEUMAN” ARAD",97,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:02",955,944,2,9,0,376,365,2,9,0,367,9,1050,674,39,50,6,102,56,8,6,94,6
2,ARAD,"LICEUL TEHNOLOGIC „FRANCISC NEUMAN” ARAD",94,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:03:31",1225,1213,4,7,1,276,268,1,6,1,267,9,1370,1094,48,36,8,49,63,19,2,38,4
2,ARAD,"LICEUL TEHNOLOGIC „FRANCISC NEUMAN” ARAD",96,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:36:02",1169,1147,17,5,0,362,357,0,5,0,345,17,1290,928,48,42,7,74,62,20,28,55,9
2,ARAD,"LICEUL TEHNOLOGIC „FRANCISC NEUMAN” ARAD",95,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:25:25",1423,1410,6,7,0,437,430,0,7,0,424,13,1570,1133,56,71,11,80,95,19,14,69,9
2,ARAD,"LICEUL TEHNOLOGIC „FRANCISC NEUMAN” ARAD (LICEUL TEHNOLOGIC „IULIU MOLDOVAN” ARAD - FOST GRUP ŞCOLAR FORESTIER)",110,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:14:37",1518,1503,9,6,0,533,526,1,6,0,523,0,1630,1103,96,40,12,129,117,16,17,84,12
2,ARAD,"LICEUL TEOLOGIC BAPTIST „ALEXA POPOVICI”",12,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:40:11",743,737,0,5,1,317,311,0,5,1,313,4,840,523,25,32,7,59,68,7,6,102,7
