precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PREDESCU ANA-LOREDANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","KIRSCH GABRIEL-FRANCISC-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PATRAŞCU LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","VEŞTEA ADRIAN-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","FLORESCU GABRIEL-PARTIDUL S.O.S. ROMÂNIA-voturi","DARĂU AMBROZIE-IRINEU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"AGENȚIA POȘTALĂ",258,"ORAŞ PREDEAL",40303,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:34:55",277,270,0,5,2,169,162,0,5,2,157,12,300,131,13,4,21,76,9,34
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",381,MÂNDRA,41417,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:46:17",695,681,0,9,5,372,358,0,9,5,339,32,750,379,39,1,114,94,11,80
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",382,MÂNDRA,41417,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:17",469,453,0,11,5,284,268,0,11,5,262,22,500,216,22,9,95,80,9,47
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",383,MÂNDRA,41417,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:23:02",209,194,1,14,0,123,109,0,14,0,112,11,200,77,12,1,44,36,1,18
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",384,MÂNDRA,41417,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:09:47",237,220,0,8,9,138,121,0,8,9,134,4,300,162,12,1,61,34,2,24
8,BRAŞOV,"AȘEZĂMÎNT CULTURAL MÂNDRA",380,MÂNDRA,41417,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:39",1012,990,1,13,8,598,577,0,13,8,572,26,1050,452,56,2,217,143,23,131
8,BRAŞOV,"CAMIN CULTURAL",433,TĂRLUNGENI,42003,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:39:30",1786,1762,7,9,8,923,906,0,9,8,808,115,1900,977,86,117,59,446,32,68
8,BRAŞOV,"CAMIN CULTURAL",351,HĂLCHIU,41033,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:53:30",1055,1043,2,8,2,570,559,1,8,2,535,35,1100,530,16,202,55,218,20,24
8,BRAŞOV,"CĂMIN CULTURAL ACRIȘ",452,"VAMA BUZĂULUI",42183,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:50:23",1046,1044,0,2,0,474,472,0,2,0,418,56,1100,626,56,1,243,77,22,19
8,BRAŞOV,"CAMIN CULTURAL BECLEAN",299,BECLEAN,40544,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:14:00",777,720,2,42,13,432,376,1,42,13,405,27,762,330,39,3,79,247,12,25
8,BRAŞOV,"CĂMIN CULTURAL BEIA",322,CAŢA,40768,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:58:42",326,316,0,10,0,210,200,0,10,0,204,6,350,140,10,1,22,166,3,2
8,BRAŞOV,"CAMIN CULTURAL BOHOLT",300,BECLEAN,40544,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:35:29",186,159,0,24,3,148,121,0,24,3,144,3,200,53,6,1,52,80,2,3
8,BRAŞOV,"CAMIN CULTURAL CALBOR",301,BECLEAN,40544,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:19:32",236,215,0,19,2,163,142,0,19,2,152,9,215,54,13,0,17,105,4,13
8,BRAŞOV,"CĂMIN CULTURAL DRĂUȘENI",323,CAŢA,40768,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:46:07",413,406,1,6,0,242,236,0,6,0,226,16,450,208,4,83,50,85,2,2
8,BRAŞOV,"CAMIN CULTURAL GRID",392,PĂRĂU,41578,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:31:10",234,220,1,11,2,158,144,1,11,2,143,15,229,71,10,2,41,75,6,9
8,BRAŞOV,"CAMIN CULTURAL HOMOROD",368,HOMOROD,41248,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:32:49",1218,1207,0,8,3,556,545,0,8,3,479,77,1300,744,75,22,252,113,12,5
8,BRAŞOV,"CAMIN CULTURAL JIMBOR",369,HOMOROD,41248,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:55:00",389,382,0,7,0,211,204,0,7,0,196,15,439,228,2,123,38,29,4,0
8,BRAŞOV,"CAMIN CULTURAL LUTA",303,BECLEAN,40544,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:53:14",90,69,0,19,2,74,53,0,19,2,74,0,100,26,7,0,11,46,4,6
8,BRAŞOV,"CAMIN CULTURAL MERCHEASA",370,HOMOROD,41248,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:42",443,434,1,8,0,265,257,0,8,0,236,25,500,239,27,5,72,121,7,4
8,BRAŞOV,"CAMIN CULTURAL RUCAR",456,VIŞTEA,42236,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:20:18",398,331,0,60,7,302,235,0,60,7,293,9,350,48,13,4,74,200,1,1
8,BRAŞOV,"CĂMIN CULTURAL ŞERCAIA",416,ŞERCAIA,41818,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:15:33",1471,1427,7,8,29,764,725,2,8,29,713,50,1600,836,102,30,78,426,27,50
8,BRAŞOV,"CĂMIN CULTURAL VAD",418,ŞERCAIA,41818,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:31:18",486,456,1,24,5,286,256,1,24,5,260,19,504,224,19,7,69,127,8,30
