precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NAGY TIBERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","KOVACS EMERIC-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","KUNDLA DARKO-PAVEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CARAMAN IOAN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
2,ARAD,"CLĂDIREA PRIMĂRIEI DIN SATUL PEREGU MIC",327,"PEREGU MARE",11637,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:38:44",782,757,1,5,19,489,465,0,5,19,477,12,843,354,139,324,9,5
2,ARAD,"PRIMĂRIA COMUNEI PEREGU MARE",326,"PEREGU MARE",11637,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:03",735,721,1,4,9,382,368,1,4,9,367,15,810,428,116,206,24,21
