precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUDE NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","PODINĂ IOAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","CHERMEZAN LUCIA-PARTIDUL SOCIAL DEMOCRAT-voturi","PAMPA NECHITA-voturi"
26,MARAMUREŞ,"ŞCOALA CU CLASELE I-VIII",304,CUPŞENI,107920,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:41",341,330,0,6,5,213,202,0,6,5,208,5,400,187,66,7,135,0
26,MARAMUREŞ,"ŞCOALA CU CLASELE I-VIII",303,CUPŞENI,107920,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:49:21",616,606,0,5,5,407,397,0,5,5,401,6,700,293,158,27,213,3
26,MARAMUREŞ,"ŞCOALA CU CLASELE V-VIII",305,CUPŞENI,107920,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:33",827,803,2,3,19,665,642,1,3,19,661,4,900,235,543,12,93,13
26,MARAMUREŞ,"ŞCOALA PRIMARĂ",306,CUPŞENI,107920,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:59:29",947,938,0,4,5,545,536,0,4,5,531,14,1000,435,81,106,338,6
