precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi","GEOROCEANU VERGIL-voturi"
30,OLT,"SEDIUL FOSTEI C.A.P.",292,ROTUNDA,128560,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:18",1175,1142,2,14,17,839,808,0,14,17,795,44,1242,403,416,300,37,27,15
30,OLT,"SEDIUL FOSTEI C.A.P.",291,ROTUNDA,128560,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:34",1074,1020,0,23,31,775,721,0,23,31,738,37,1115,340,409,256,28,11,34
