precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LAZĂR MITICĂ-FLORENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","LAZĂR DAN-NELU-PARTIDUL SOCIAL DEMOCRAT-voturi","BICA FLORIN-NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
5,BIHOR,"CĂMIN CULTURAL",233,AUŞEU,27212,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:28",749,728,5,5,11,426,408,2,5,11,407,19,809,383,229,126,52
5,BIHOR,"CĂMINUL CULTURAL AUŞEU",231,AUŞEU,27212,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:31:03",776,756,0,6,14,475,455,0,6,14,466,9,842,367,277,116,73
5,BIHOR,"ŞCOALA PRIMARĂ",232,AUŞEU,27212,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:13",816,801,0,5,10,481,466,0,5,10,463,18,858,377,275,134,54
