precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MÎNDRECI CRISTIAN-MĂDĂLIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","FLOREA PETRE-DOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","BOBONETE VASILE-VALERICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OANCEA ION-PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"CĂMIN CULTURAL",258,BRATOVOEŞTI,71199,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:50",1172,1130,0,31,11,663,621,0,31,11,633,30,1217,554,38,61,27,507
17,DOLJ,"ȘCOALA PRIMARĂ BĂDOȘI",259,BRATOVOEŞTI,71199,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:44",718,704,0,9,5,409,395,0,9,5,393,16,800,391,28,14,15,336
17,DOLJ,"ȘCOALA PRIMARĂ GEOROCU MARE",260,BRATOVOEŞTI,71199,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:21",392,366,1,17,8,250,225,0,17,8,238,12,400,150,19,9,10,200
17,DOLJ,"ȘCOALA PRIMARĂ PRUNET",261,BRATOVOEŞTI,71199,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:20",495,467,1,25,2,369,341,1,25,2,362,7,500,131,55,12,0,295
