precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOTEZATU FILIP-PARTIDUL SOCIAL DEMOCRAT-voturi","BOZAN LIVIU-DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GRECU MARIUS-PARTIDUL NAȚIONAL LIBERAL-voturi","STANCU ANCA-MIHAIELA-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","VIDRIGHIN-BRATU DANIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MARICUŢA IOAN-DANIEL-voturi","MEIŢESCU DANIELA-MARIA-voturi"
34,SIBIU,"CĂMIN CULTURAL BUNGRAD",363,ŞELIMBĂR,143557,4,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:48",510,499,1,10,0,313,303,0,10,0,293,20,550,237,27,3,67,1,6,173,16
34,SIBIU,"CĂMIN CULTURAL MOHU",364,ŞELIMBĂR,143557,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:06:19",613,601,0,7,5,335,323,0,7,5,328,7,660,325,8,6,98,0,14,173,29
34,SIBIU,"CĂMIN CULTURAL VEȘTEM",365,ŞELIMBĂR,143557,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:44",1468,1437,3,25,3,941,913,0,25,3,910,31,1590,649,31,11,426,1,52,353,36
34,SIBIU,"GRĂDINIȚA CU PROGRAM PRELUNGIT",357,ŞELIMBĂR,143557,2,PART,PRCNCT,P,P_SV,"2024-06-13 20:46:32",1782,1748,13,21,0,918,897,0,21,0,889,10,1900,982,34,18,339,7,263,174,54
34,SIBIU,"GRĂDINITA CU PROGRAM PRELUNGIT”DOAMNA STANCA” ȘELIMBĂR",360,ŞELIMBĂR,143557,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:43:27",736,712,7,17,0,302,285,0,17,0,299,3,780,478,6,5,172,1,59,44,12
34,SIBIU,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”DOAMNA STANCA”ȘELIMBĂR",361,ŞELIMBĂR,143557,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:32:52",1933,1884,32,17,0,963,946,0,17,0,948,15,2080,1117,27,33,452,15,228,153,40
34,SIBIU,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”DOAMNA STANCA”ȘELIMBĂR",362,ŞELIMBĂR,143557,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:31:36",709,685,11,13,0,283,269,1,13,0,277,6,750,467,7,13,107,1,70,51,28
34,SIBIU,"GRĂDINIȚA CU PROGRAM PRELUNGIT ȘELIMBĂR, CORP NOU, PARTER",358,ŞELIMBĂR,143557,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:55:28",2000,1958,18,23,1,1040,1015,1,23,1,1030,10,2140,1100,31,22,352,5,244,306,70
34,SIBIU,"ȘCOALA GENERALĂ”MIHAI VITEAZU”ȘELIMBĂR, CORP B",355,ŞELIMBĂR,143557,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:47:23",1911,1865,25,21,0,976,955,0,21,0,967,9,2086,1110,29,5,306,2,200,337,88
34,SIBIU,"ŞCOALA GIMNAZIALĂ `MIHAI VITEAZU~ ŞELIMBĂR",356,ŞELIMBĂR,143557,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:25:55",1905,1858,24,22,1,1047,1024,0,22,1,1031,16,2020,973,41,20,366,9,149,376,70
34,SIBIU,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZU” ȘELIMBĂR",359,ŞELIMBĂR,143557,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:19",1114,1073,9,32,0,596,564,0,32,0,586,10,1160,564,14,4,185,4,194,138,47
