precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BULIGA MIHAI-DORU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MIREUŢĂ SPIRIDON-PARTIDUL SOCIAL DEMOCRAT-voturi","TODOSI MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","STRUGAR ILIE-PARTIDUL PATRIOȚILOR-voturi","BURCĂ LEVENTE-voturi"
35,SUCEAVA,"CONTAINER MOBIL AMPLASAT ÎN CURTEA ȘCOLII DELENI",425,"PÂRTEŞTII DE JOS",149780,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:54:50",576,561,0,11,4,310,295,0,11,4,293,17,650,340,23,133,69,41,27
35,SUCEAVA,"LICEUL TEHNOLOGIC ”NICANOR MOROȘAN” PÎRTEȘTII DE JOS",424,"PÂRTEŞTII DE JOS",149780,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:38:35",1620,1575,1,11,33,926,882,0,11,33,900,26,1700,774,78,316,284,136,86
35,SUCEAVA,"ŞCOALA VÂRFU DEALULUI",426,"PÂRTEŞTII DE JOS",149780,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:04:39",150,144,0,5,1,94,88,0,5,1,91,3,171,77,5,37,36,7,6
