precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRIŞAN GAVRIL-voturi","PIŞEK FRANCISC-PARTIDUL SOCIAL DEMOCRAT-voturi","GUI IONUŢ-MIREL-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","CRISTE NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL FĂGETU",246,PLOPIŞ,142337,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:54:34",524,494,17,6,7,267,254,0,6,7,261,6,560,293,9,115,4,133
33,SĂLAJ,"CĂMINUL CULTURAL PLOPIȘ",245,PLOPIŞ,142337,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:48:39",816,787,3,21,5,512,491,0,16,5,498,14,870,358,32,144,61,261
33,SĂLAJ,"CENTRUL CULTURAL IAZ",247,PLOPIŞ,142337,3,PART,PRCNCT,P,P_SV,"2024-06-13 14:00:34",609,590,0,6,13,343,324,0,6,13,337,6,670,327,22,112,18,185
