precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PASCU RĂZVAN-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","PETRE RADU-UNIUNEA SALVAȚI ROMÂNIA-voturi","ION VALERIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NECULA COSTEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
41,VRANCEA,"CᾸMIN CULTURAL SLOBOZIA BOTEṢTI",206,MĂICĂNEŞTI,176613,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:29:24",213,191,1,14,7,124,103,0,14,7,115,9,222,98,111,1,0,3
41,VRANCEA,"GRADINITA CU PROGRAM NORMAL STUPINA",208,MĂICĂNEŞTI,176613,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:16:27",276,259,0,11,6,202,185,0,11,6,196,6,285,83,175,2,1,18
41,VRANCEA,"SCOALA GENERALA SATU-NOU",207,MĂICĂNEŞTI,176613,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:28",205,185,0,13,7,117,97,0,13,7,113,4,216,99,90,6,5,12
41,VRANCEA,"SCOALA GENERALA TATARU",209,MĂICĂNEŞTI,176613,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:02:06",646,599,0,22,25,415,368,0,22,25,410,5,694,279,347,24,14,25
41,VRANCEA,"SCOALA GIMNAZIALA MAICANESTI",204,MĂICĂNEŞTI,176613,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:38:52",1124,1080,0,8,36,622,578,0,8,36,592,30,1198,576,531,6,27,28
41,VRANCEA,"SCOALA GIMNAZIALA RIMNICENI",205,MĂICĂNEŞTI,176613,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:54:38",1144,1062,1,31,50,741,660,0,31,50,718,23,1239,498,666,5,3,44
