precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CERBU LOREDANA-ELENA-PARTIDUL SOCIAL DEMOCRAT-voturi"
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”V.I. POPA”",281,DODEŞTI,167286,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:17:57",1112,1025,0,7,80,687,600,0,7,80,619,68,1222,535,619
39,VASLUI,"ŞCOALA PRIMARĂ URDEŞTI",282,DODEŞTI,167286,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:40:49",212,194,0,10,8,133,115,0,10,8,118,15,221,88,118
