precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BURDULEA VASILICĂ-MUGUREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROTARU ION-PARTIDUL SOCIAL DEMOCRAT-voturi","BALAN COSMIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GAVRILESCU IULIAN-CĂTĂLIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","JIPA CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","ASOLOMII DRAGOŞ-ANDREI-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","RĂCIANU DANIEL-voturi"
29,NEAMŢ,"SCOALA GIMNAZIALĂ VADURI",156,"ALEXANDRU CEL BUN",124938,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:04:18",877,865,0,9,3,435,423,0,9,3,427,8,900,465,69,135,170,16,11,6,20
29,NEAMŢ,"SCOALA GIMNAZIALĂ VADURI",155,"ALEXANDRU CEL BUN",124938,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:38:39",1857,1834,1,9,13,921,899,0,9,13,906,15,2000,1079,243,245,282,39,48,14,35
29,NEAMŢ,"SCOALA GIMNAZIALĂ VADURI",157,"ALEXANDRU CEL BUN",124938,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:17",1118,1094,8,9,7,657,640,1,9,7,630,27,1200,543,179,113,245,18,7,53,15
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ VADURI (CLĂDIREA FOSTEI ȘCOLI DIN SATUL AGÂRCIA)",154,"ALEXANDRU CEL BUN",124938,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:02:42",285,283,0,1,1,139,137,0,1,1,126,13,355,216,34,33,47,6,1,4,1
29,NEAMŢ,"SEDIUL S.V.S.U.",153,"ALEXANDRU CEL BUN",124938,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:25:18",1004,994,3,1,6,505,499,0,1,5,494,11,1141,636,108,148,149,35,31,7,16
