precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DEMIREL BOBE PARASCHIVA-PARTIDUL SOCIAL DEMOCRAT-voturi","VRABIE NICOLETA-PARTIDUL NAȚIONAL LIBERAL-voturi","RĂDUCAN ELENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
14,CONSTANŢA,"CAMIN CULTURAL IVRINEZU MARE",520,PEŞTERA,62707,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:36:04",716,708,2,5,1,366,360,0,5,1,354,12,778,412,238,99,17
14,CONSTANŢA,"CĂMIN CULTURAL PEŞTERA",519,PEŞTERA,62707,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:02",1509,1503,1,4,1,782,777,0,4,1,765,17,1657,875,358,368,39
14,CONSTANŢA,"SCOALA PRIMARA NR.3",521,PEŞTERA,62707,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:25",593,584,3,5,1,285,278,1,5,1,270,15,642,357,179,74,17
