precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLUCUŞ DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIOCAN ADRIAN-DAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIUJDEA IOAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TURCEA MARIAN-GEORGE-PARTIDUL SOCIAL DEMOCRAT-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL",425,"ŞINCA NOUĂ",42449,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:18:24",1012,916,16,59,21,797,708,9,59,21,784,13,1000,203,212,512,19,41
8,BRAŞOV,"ȘCOALĂ GENERALĂ",426,"ŞINCA NOUĂ",42449,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:12",231,212,0,16,3,137,118,0,16,3,134,3,232,95,55,67,2,10
8,BRAŞOV,"ȘCOALA PRIMARĂ PALTIN",427,"ŞINCA NOUĂ",42449,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:28:26",163,152,0,10,1,122,111,0,10,1,121,1,200,78,54,62,3,2
