precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGUŢ GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","BARBU NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","RUSU SĂNDEL-DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOISE VIRGIL-voturi"
9,BRĂILA,"CĂMINUL CULTURAL SURDILA GĂISEANCA",241,SURDILA-GĂISEANCA,44113,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:54",1270,1227,0,12,31,913,870,0,12,31,892,21,1360,447,717,125,49,1
9,BRĂILA,"FOSTA ȘCOALA GIMNAZIALA FILIPESTI",242,SURDILA-GĂISEANCA,44113,7,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:23",640,620,1,4,15,412,392,1,4,15,406,6,720,307,366,34,6,0
