precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
30,OLT,"ŞCOALA GIMNAZIALĂ TRAIAN",343,TRAIAN,129567,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:07:00",1222,1188,0,5,29,807,773,0,5,29,763,44,1331,524,368,74,72,152,71,26
30,OLT,"ŞCOALA GIMNAZIALĂ TRAIAN",342,TRAIAN,129567,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:34:41",1132,1091,0,6,35,735,694,0,6,35,679,56,1235,500,305,40,85,139,72,38
