precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MAZILU IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BUSUIOC GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi"
3,ARGEŞ,"CĂMIN CULTURAL BEREVOEŞTI-PĂMÎNTENI",231,BEREVOEŞTI,14405,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:56:54",1632,1627,0,3,2,1094,1089,0,3,2,1065,29,1731,637,609,456
3,ARGEŞ,"ŞCOALA BRATIA",232,BEREVOEŞTI,14405,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:02:10",126,117,0,9,0,101,92,0,9,0,100,1,205,104,71,29
3,ARGEŞ,"ŞCOALA GĂMĂCEŞTI",233,BEREVOEŞTI,14405,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:02:04",895,889,0,6,0,649,643,0,6,0,598,45,979,336,510,88
