precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BELGHER ARTUR-LEONIDA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DRĂGULESCU VICTOR-PARTIDUL SOCIAL DEMOCRAT-voturi","PÎRVULESCU GHEORGHE-PARTIDUL ECOLOGIST ROMÂN-voturi","MILITARU-GREERE OANA-ALEXANDRA-PARTIDUL PRO ROMÂNIA-voturi","FLOAREA DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","COCONU GEORGIANA-ALINA-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
20,GORJ,"ŞCOALA GIMNAZIALĂ ALIMPEŞTI",126,ALIMPEŞTI,78542,2,PART,PRCNCT,P,P_SV,"2024-06-12 13:50:08",849,807,1,17,24,552,510,1,17,24,543,9,900,348,95,189,1,75,157,26
20,GORJ,"ŞCOALA PRIMARĂ SÎRBEŞTI",127,ALIMPEŞTI,78542,2,PART,PRCNCT,P,P_SV,"2024-06-12 14:31:40",613,587,0,17,9,433,407,0,17,9,419,14,666,233,96,101,8,57,147,10
