precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL BAHNA",200,ILOVIŢA,112334,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:05:09",437,406,0,25,6,324,293,0,25,6,311,13,451,127,177,113,21
27,MEHEDINŢI,"ȘCOALA GENERALĂ ILOVIŢA",199,ILOVIŢA,112334,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:49:03",694,648,0,34,12,544,498,0,34,12,504,19,705,178,201,189,114
