precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi"
18,GALAŢI,"SCOALA GIMNAZIALA NR. 1 CHIRAFTEI",348,MĂSTĂCANI,76718,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:48",1068,1038,0,13,17,495,465,0,13,17,479,16,1152,657,92,76,30,225,14,11,13,18
18,GALAŢI,"SCOALA GIMNAZIALA NR 1 GHE. POALELUNGI MASTACANI",346,MĂSTĂCANI,76718,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:03:44",1015,990,0,11,14,456,431,0,11,14,438,18,1122,666,11,112,26,229,11,5,10,34
18,GALAŢI,"SCOALA GIMNAZIALA NR. 2 CHIRAFTEI",349,MĂSTĂCANI,76718,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:09:42",1023,999,0,7,17,465,441,0,7,17,446,19,1116,651,41,89,52,228,17,1,9,9
18,GALAŢI,"SCOALA GIMNAZIALA NR. 3 MĂSTĂCANI",347,MĂSTĂCANI,76718,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:21",760,735,0,8,17,366,341,0,8,17,342,24,808,442,25,90,29,148,26,2,10,12
