precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PETROVAI ION-PARTIDUL SOCIAL DEMOCRAT-voturi","BILAŞCO VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PALCUŞ GHEORGHE-GRIGORE-PARTIDUL NAȚIONAL LIBERAL-voturi"
26,MARAMUREŞ,"ŞCOALA GENERALĂ „MOCEARSCHI”",355,PETROVA,108455,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:05",1010,994,2,5,9,636,622,0,5,9,587,36,1153,530,143,15,429
26,MARAMUREŞ,"ŞCOALA GENERALĂ „SUSANI”",356,PETROVA,108455,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:08:20",955,935,0,5,15,559,539,0,5,15,529,30,1000,441,179,27,323
