precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
3,ARGEŞ,"CĂMINUL CULTURAL FĂGETU",166,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:20:55",210,205,0,5,0,141,136,0,5,0,137,0,338,201,59,57,13,2,5,1
3,ARGEŞ,"CASA DE CULTURĂ A SINDICATELOR DACIA",157,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:14",1211,1203,1,7,0,662,655,0,7,0,645,17,1400,738,292,169,88,68,14,14
3,ARGEŞ,"CLĂDIREA MULTIFUNCȚIONALĂ COLIBAȘI",164,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:50:28",649,643,0,6,0,392,386,0,6,0,380,12,800,408,136,73,43,33,94,1
3,ARGEŞ,"CLĂDIREA MULTIFUNCȚIONALĂ FĂGETU",165,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:06",746,739,0,7,0,489,482,0,7,0,464,25,800,311,243,135,51,15,16,4
3,ARGEŞ,"DISPENSAR UMAN",149,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:56:27",1390,1383,0,7,0,689,682,0,7,0,670,19,1600,911,321,166,71,75,29,8
3,ARGEŞ,"FOSTUL SEDIU AL GRĂDINIȚEI ”CAMPIONII” DIN BLOCUL T2A",159,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:31:06",1224,1217,0,7,0,601,594,0,7,0,588,13,1300,699,259,183,62,62,13,9
3,ARGEŞ,"FOSTUL SEDIU AL GRĂDINIȚEI DIN BLOCUL M6",147,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:23:37",1615,1609,0,6,0,747,741,0,6,0,720,21,1700,953,372,199,66,65,11,7
3,ARGEŞ,"FOSTUL SEDIU AL GRĂDINIȚEI DIN BLOCUL T6",158,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:37",1458,1448,2,8,0,746,738,0,8,0,728,18,1600,854,247,267,82,97,27,8
3,ARGEŞ,"FOSTUL SEDIU AL ȘCOLII CLUCEREASA",162,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:25:31",212,201,2,9,0,210,201,0,9,0,208,2,440,230,149,30,14,11,3,1
3,ARGEŞ,"FOSTUL SEDIU AL ȘCOLII RACOVIȚA DE SUS",168,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:30:52",680,677,0,3,0,408,405,0,3,0,399,9,800,392,180,124,35,38,8,14
