precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"PRIMĂRIA COM MOLDOVA SULIȚA",401,MOLDOVA-SULIŢA,149502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:40",1017,990,0,0,27,590,563,0,0,27,561,29,1123,533,33,331,39,140,8,10
35,SUCEAVA,"ȘCOALA PRIMARĂ BENIA",402,MOLDOVA-SULIŢA,149502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:19:32",515,501,0,7,7,302,288,0,7,7,285,17,560,258,24,168,19,57,12,5
