precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPA ALIN-MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OLTEANU ILIE-PARTIDUL SOCIAL DEMOCRAT-voturi","BUDICĂ FLORIN-ALIN-FORȚA DREPTEI-voturi","BUŞE MUGUREL-voturi"
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV LINIA DEALULUI",375,STĂNEŞTI,173132,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:17:08",131,117,0,14,0,80,66,0,14,0,77,3,130,50,3,3,32,39
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV VÂRLENI",376,STĂNEŞTI,173132,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:57:10",344,327,2,12,3,235,218,2,12,3,218,17,360,125,21,8,36,153
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII STĂNEŞTI",374,STĂNEŞTI,173132,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:24:42",414,370,0,29,15,291,247,0,29,15,279,11,416,126,6,12,40,221
