precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DOBRE DAN-GEORGE-voturi"
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. D. GHICA”",9,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:55:27",1153,1142,1,9,1,583,573,0,9,1,568,15,1280,697,293,36,146,7,54,32
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. D. GHICA”",8,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:10",1414,1410,1,2,1,650,647,0,2,1,624,26,1560,910,349,56,162,7,23,27
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. I. CUZA”",24,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:56:07",962,951,0,10,1,380,369,0,10,1,375,5,1060,680,208,33,75,7,26,26
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. I. CUZA”",25,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:53:30",954,943,0,10,1,431,420,0,10,1,417,14,1080,649,213,39,96,12,30,27
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. I. CUZA”",26,"MUNICIPIUL ALEXANDRIA",151790,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:39:24",887,877,0,7,3,390,380,0,7,3,384,6,1000,610,193,32,98,7,33,21
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.4",31,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:29:23",1179,1169,1,9,0,421,412,0,9,0,405,16,1350,929,225,47,77,5,20,31
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.4",32,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:21:14",1390,1375,2,13,0,504,491,0,13,0,482,22,1532,1028,263,66,89,6,20,38
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.7",14,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:52",973,965,0,7,1,465,457,0,7,1,446,19,1120,655,232,29,121,2,39,23
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.7",15,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:39:48",994,985,0,8,1,449,440,0,8,1,433,16,1100,651,217,38,110,3,37,28
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.8",34,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:51",1201,1190,0,11,0,241,230,0,11,0,214,27,1310,1069,146,24,34,4,5,1
36,TELEORMAN,"LICEUL PEDAGOGIC ”MIRCEA SCARLAT”",12,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:34",1169,1142,1,18,8,556,529,1,18,8,541,15,1260,704,280,32,147,8,41,33
36,TELEORMAN,"LICEUL TEHNOLOGIC ”NICOLAE BĂLCESCU”",6,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:56:18",1383,1369,2,10,2,679,667,0,10,2,657,22,1520,841,393,53,141,8,24,38
36,TELEORMAN,"LICEUL TEHNOLOGIC ”NICOLAE BĂLCESCU”",7,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:46:58",1035,1022,0,13,0,455,442,0,13,0,452,3,1130,675,208,33,142,5,48,16
36,TELEORMAN,"LICEUL TEORETIC ”C. NOICA”",10,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:34",1243,1239,0,4,0,538,534,0,4,0,523,15,1370,832,270,45,124,7,49,28
36,TELEORMAN,"LICEUL TEORETIC ”C. NOICA”",11,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:09:24",966,954,3,7,2,459,450,0,7,2,445,14,1060,601,209,27,130,5,43,31
36,TELEORMAN,"SALA POLIVALENTĂ",16,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:24:44",1364,1349,4,9,2,582,571,0,9,2,560,22,1540,958,315,56,117,10,28,34
36,TELEORMAN,"SALA POLIVALENTĂ",17,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:38:19",1118,1096,4,15,3,507,489,0,15,3,468,39,1220,713,269,33,103,8,34,21
36,TELEORMAN,"ȘCOALA AJUTĂTOARE ALEXANDRIA",1,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:58:53",1459,1442,4,8,5,675,662,0,8,5,661,14,1600,925,313,54,189,9,49,47
36,TELEORMAN,"ȘCOALA DE ȘOFERI AMATORI",33,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:08:59",1418,1403,0,11,4,568,553,0,11,4,517,51,1589,1021,342,60,78,11,13,13
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",27,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:29",1228,1224,0,4,0,520,516,0,4,0,512,8,1390,870,246,45,138,9,35,39
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",30,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:58",1319,1311,2,6,0,590,582,2,6,0,581,9,1450,860,287,68,154,10,31,31
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",28,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:29:03",1274,1268,0,5,1,472,466,0,5,1,455,17,1460,988,244,43,103,8,25,32
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",29,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:13:35",1251,1238,2,6,5,558,547,0,6,5,536,22,1430,872,292,42,131,14,28,29
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",21,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:29",994,987,0,5,2,446,439,0,5,2,434,12,1130,684,197,41,113,5,39,39
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",20,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:49",1286,1266,4,13,3,539,523,0,13,3,519,20,1400,861,245,46,146,3,33,46
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.5",13,"MUNICIPIUL ALEXANDRIA",151790,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:34:11",913,901,3,7,2,429,419,1,7,2,422,7,1000,571,206,24,130,2,38,22
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.6",22,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:55",913,903,1,7,2,331,322,0,7,2,322,9,1010,679,182,43,67,2,14,14
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.6",23,"MUNICIPIUL ALEXANDRIA",151790,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:10:20",903,891,0,12,0,338,326,0,12,0,326,12,1040,702,163,42,68,5,25,23
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.7",3,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:58:16",1161,1155,0,5,1,551,545,0,5,1,541,10,1340,789,322,56,101,6,27,29
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.7",2,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:09:22",1118,1108,2,8,0,523,515,0,8,0,513,10,1270,747,243,55,118,8,44,45
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.7",5,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:27",1103,1087,2,13,1,499,485,0,13,1,490,9,1260,761,256,39,119,7,42,27
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.7",4,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:04:23",1293,1285,3,3,2,553,548,0,3,2,531,22,1420,867,259,49,171,6,26,20
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ȘTEFAN CEL MARE”",18,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:58",772,758,2,11,1,347,335,0,11,1,340,7,880,533,195,38,61,5,27,14
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ȘTEFAN CEL MARE”",19,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:16",924,912,0,11,1,425,413,0,11,1,406,19,1010,585,194,33,124,6,28,21
