precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DEMETER PETRU-PAVEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","MACIUC VIORICA-PARTIDUL NAȚIONAL LIBERAL-voturi","HOLLO IOSIF-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MUREŞAN-BERTOTI KRISZTIANA-LOREDANA-PARTIDUL SOCIAL DEMOCRAT-voturi","PINTEA CECILIA-ANGELA-PARTIDUL MIȘCAREA POPULARĂ-voturi","BUDA IOAN-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",235,BĂIUŢ,107154,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:41:26",159,150,0,6,3,103,94,0,6,3,101,2,200,97,5,46,2,47,0,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",236,BĂIUŢ,107154,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:08",489,476,0,7,6,267,254,0,7,6,253,13,500,233,17,52,16,120,19,29
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ REGINA ELISABETA",234,BĂIUŢ,107154,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:10:25",1175,1155,0,3,17,631,611,0,3,17,620,11,1300,669,17,162,73,258,81,29
