precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","BENKŐ BLANKA-voturi"
15,COVASNA,"CASA CANTORIALĂ AITA MEDIE",91,"AITA MARE",63777,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:01:28",636,615,3,3,15,303,286,1,3,13,289,14,700,397,46,41,139,34,1,28
15,COVASNA,"SEDIUL PRIMĂRIEI COMUNEI AITA MARE",90,"AITA MARE",63777,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:20:37",715,689,4,8,14,379,357,0,8,14,359,20,772,393,10,8,288,7,17,29
