precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOHORIA PETRIŞOR-LICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","STAMATIN FĂNEL-PARTIDUL NAȚIONAL LIBERAL-voturi","PETREA TUDORACHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MUNTEANU RĂDUCU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
18,GALAŢI,"SCOALA GENERALA MĂCIŞENI",263,CORNI,76004,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:32",654,623,1,15,15,437,406,1,15,15,419,18,710,273,225,154,13,27
18,GALAŢI,"SCOALA GENERALA URLEŞTI",264,CORNI,76004,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:55:26",368,345,0,14,9,368,345,0,14,9,250,7,381,124,61,16,1,172
18,GALAŢI,"SCOALA NOUA - SAT CORNI",262,CORNI,76004,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:31",705,671,0,14,20,462,428,0,14,20,451,11,730,268,359,48,2,42
