county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-g8","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-1","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-mandate-faza-1","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-mandate-faza-2","SACASTI-TIVADAR OCTAVIAN-VASILE-voturi","SACASTI-TIVADAR OCTAVIAN-VASILE-mandate-faza-1","SACASTI-TIVADAR OCTAVIAN-VASILE-mandate-faza-2","SILAGHI IOAN-voturi","SILAGHI IOAN-mandate-faza-1","SILAGHI IOAN-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-mandate-g9","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g8","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g9","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-2","CĂTANĂ IOAN-voturi","CĂTANĂ IOAN-mandate-faza-1","CĂTANĂ IOAN-mandate-faza-2","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","PAP SÁNDOR-voturi","PAP SÁNDOR-mandate-faza-1","PAP SÁNDOR-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-mandate-faza-1","PARTIDUL LEGE EDUCAȚIE UNITATE-mandate-faza-2","HORVAT EUGEN-voturi","HORVAT EUGEN-mandate-faza-1","HORVAT EUGEN-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","BREAZDĂU GHEORGHE-CIPRIAN-voturi","BREAZDĂU GHEORGHE-CIPRIAN-mandate-faza-1","BREAZDĂU GHEORGHE-CIPRIAN-mandate-faza-2","VAIDA IOAN-voturi","VAIDA IOAN-mandate-faza-1","VAIDA IOAN-mandate-faza-2","ILIEŞ BOGDAN-voturi","ILIEŞ BOGDAN-mandate-faza-1","ILIEŞ BOGDAN-mandate-faza-2","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-mandate-faza-1","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-mandate-faza-2","MATEI IULIANA-LOREDANA-voturi","MATEI IULIANA-LOREDANA-mandate-faza-1","MATEI IULIANA-LOREDANA-mandate-faza-2","ALIANȚA ELECTORALĂ PSD PRO ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PRO ROMÂNIA-mandate-faza-1","ALIANȚA ELECTORALĂ PSD PRO ROMÂNIA-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-faza-2","CRIŞAN GAVRIL-voturi","CRIŞAN GAVRIL-mandate-faza-1","CRIŞAN GAVRIL-mandate-faza-2","BÎRJAC GAVRIL-voturi","BÎRJAC GAVRIL-mandate-faza-1","BÎRJAC GAVRIL-mandate-faza-2","MUREŞAN ALEXANDRU-TEOFIL-voturi","MUREŞAN ALEXANDRU-TEOFIL-mandate-faza-1","MUREŞAN ALEXANDRU-TEOFIL-mandate-faza-2"
33,SĂLAJ,AGRIJ,139937,2,FINAL,UAT,CL,CL_CE,"2024-06-13 15:44:40",1165,1067,1,55,42,832,734,1,55,42,790,40,1192,362,39,55,63,87,375,4,0,178,2,0,65,0,0,1,105,1,0,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,ALMAŞU,139982,2,FINAL,UAT,CL,CL_CE,"2024-06-13 15:47:59",1684,1485,1,121,77,1298,1099,1,121,77,1212,86,1710,412,60,84,96,104,274,2,1,244,2,0,91,0,0,1,0,0,0,75,0,1,466,4,0,22,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BĂBENI,140084,2,FINAL,UAT,CL,CL_CE,"2024-06-13 15:50:13",1515,1199,1,228,87,1184,868,1,228,87,1136,48,1428,244,56,79,90,126,396,3,0,544,4,0,0,0,0,0,119,0,1,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BĂLAN,140146,2,FINAL,UAT,CL,CL_CE,"2024-06-13 15:53:41",3176,2913,4,167,92,2237,1978,0,167,92,2158,79,3351,1114,107,151,172,162,944,5,1,572,3,1,0,0,0,0,240,1,0,123,0,1,0,0,0,46,0,0,233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BĂNIŞOR,140208,2,FINAL,UAT,CL,CL_CE,"2024-06-13 17:20:01",1548,1513,1,28,6,974,940,0,28,6,922,52,1670,696,46,64,73,81,200,2,0,360,4,0,0,0,0,0,128,1,1,70,0,1,0,0,0,0,0,0,50,0,1,31,0,0,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BENESAT,140244,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:22:07",1183,1120,1,25,37,875,813,0,25,37,846,29,1270,395,42,59,67,89,270,3,0,220,2,1,0,0,0,0,39,0,0,76,0,1,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BOBOTA,140280,2,FINAL,UAT,CL,CL_CE,"2024-06-13 15:57:35",3007,2891,3,61,52,1807,1694,0,61,52,1694,113,3227,1419,84,118,135,123,469,3,1,513,4,0,10,0,0,0,345,2,1,131,1,0,0,0,0,152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BOCŞA,140324,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:45:26",2709,2573,1,29,106,1845,1709,1,29,106,1797,48,2952,1107,89,125,143,133,261,1,1,596,4,0,0,0,0,0,108,0,1,0,0,0,770,5,1,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BOGHIŞ,180037,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:48:44",1503,1451,3,5,44,932,883,0,5,44,884,48,1637,705,44,61,70,78,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,810,10,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BUCIUMI,140379,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:09:46",2016,1799,0,144,73,1494,1277,0,144,73,1410,84,2058,564,70,98,112,128,352,2,1,742,5,1,0,0,0,0,0,0,0,167,1,0,0,0,0,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,CAMĂR,140440,1,FINAL,UAT,CL,CL_CE,"2024-06-10 03:26:23",1312,1244,2,4,62,876,809,1,4,62,846,30,1428,552,42,59,67,76,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
