precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VARGA ANDRÁS-ADORJÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MATEŞ DORIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
28,MUREŞ,"CĂMIN CULTURAL AGRIŞTEU",268,BĂLĂUŞERI,115637,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:24:52",627,614,1,3,9,302,289,1,3,9,267,35,690,388,221,46
28,MUREŞ,"CĂMIN CULTURAL DUMITRENI",270,BĂLĂUŞERI,115637,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:24",361,337,0,9,15,166,142,0,9,15,161,5,400,234,156,5
28,MUREŞ,"CĂMIN CULTURAL FILITELNIC",271,BĂLĂUŞERI,115637,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:05:24",175,168,0,6,1,98,91,0,6,1,93,5,198,100,55,38
28,MUREŞ,"SCOALĂ GIMNAZIALĂ SAMUEL JOZSEF CHENDU",269,BĂLĂUŞERI,115637,6,PART,PRCNCT,P,P_SV,"2024-06-10 10:41:23",1162,1092,3,9,58,716,647,2,9,58,680,36,1260,544,654,26
28,MUREŞ,"SCOALĂ GIMNAZIALĂ SENEREUŞ",272,BĂLĂUŞERI,115637,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:21:42",541,518,3,7,13,315,295,0,7,13,301,14,582,267,44,257
28,MUREŞ,"ŞCOALA GIMNAZIALĂ TOROK JANOS BĂLĂUŞERI",267,BĂLĂUŞERI,115637,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:00",915,886,0,2,27,407,378,0,2,27,382,25,1033,626,355,27
