precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",284,COLTĂU,179846,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:48:19",486,482,1,2,1,283,280,0,2,1,276,7,487,204,45,159,36,5,31
26,MARAMUREŞ,"CASA DE CULTURĂ ”TELEKI SÁNDOR ”",283,COLTĂU,179846,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:30:38",1879,1842,2,9,26,1177,1142,0,9,26,1038,123,2100,939,117,551,33,305,32
