precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PERCEA DĂNUŢ-NARCIS-PARTIDUL SOCIAL DEMOCRAT-voturi","SGÎRCEA CĂTĂLIN-SORINEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
27,MEHEDINŢI,"CAMIN CULTURAL VANATORI",279,VÂNĂTORI,113849,2,PART,PRCNCT,P,P_SV,"2024-06-10 02:59:07",923,845,0,16,62,503,425,0,16,62,498,5,930,427,476,22
27,MEHEDINŢI,"MAGAZIN SĂTESC ROȘIORI",280,VÂNĂTORI,113849,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:12",774,708,0,16,50,430,364,0,16,50,422,6,947,519,408,14
