precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL LIGA ACȚIUNII NAȚIONALE-voturi"
17,DOLJ,"BIBLIOTECA ORĂȘENEASCĂ ANTON PANN",210,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:58:28",1340,1330,1,6,3,715,706,0,6,3,688,18,1455,749,68,174,44,384,16,2
17,DOLJ,"GRĂDINIŢA NR. 1 FILIAŞI",211,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:43:25",1768,1757,1,4,6,972,962,0,4,6,942,30,1900,928,84,259,67,516,15,1
17,DOLJ,"GRĂDINIŢA NR. 2 FILIAŞI",212,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:29:43",1839,1807,3,7,22,804,777,0,7,20,755,48,1900,1092,82,146,43,474,9,1
17,DOLJ,"GRĂDINIŢA NR. 3 FILIAŞI",213,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:19:39",1176,1166,0,9,1,631,621,0,9,1,602,20,1300,669,72,173,33,312,10,2
17,DOLJ,"LICEUL TEHNOLOGIC DIMITRIE FILIŞANU CORP C 2",214,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:08:02",1617,1610,0,7,0,767,760,0,7,0,730,37,1700,933,43,215,31,425,12,4
17,DOLJ,"PRIMĂRIA ORAŞULUI FILIAŞI",215,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:06:17",1550,1543,0,6,1,847,840,0,6,1,816,31,1700,853,87,218,56,441,8,6
17,DOLJ,"ŞCOALA BÎLTA",217,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:55:52",907,896,0,4,7,585,574,0,4,7,566,19,1100,515,54,204,22,281,5,0
17,DOLJ,"ŞCOALA GIMNAZIALĂ FILIAŞI",216,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:57:18",1342,1324,2,10,6,770,754,0,10,6,737,28,1500,735,81,164,49,417,24,2
17,DOLJ,"SCOALA GIMNAZIALĂ FRATOŞTIŢA - CORP 1",218,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:34",1272,1269,0,3,0,734,731,0,3,0,693,41,1400,666,37,279,11,352,4,10
17,DOLJ,"ŞCOALA GIMNAZIALĂ FRATOŞTITA - CORP 2",219,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:00",747,740,0,5,2,397,390,0,5,2,377,20,900,503,26,169,8,170,4,0
17,DOLJ,"ŞCOALA RĂCARII DE SUS",220,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:04",941,933,1,6,1,541,534,0,6,1,526,15,1100,559,51,163,23,286,3,0
