precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RĂDUCIOIU VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FUICĂ-HAISLER ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","ADĂSCĂLIŢII FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
18,GALAŢI,"CĂMINUL CULTURAL DIN SATUL NEGRILEŞTI",359,NEGRILEŞTI,77579,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:06",1455,1326,1,43,85,808,682,1,42,83,789,19,1433,617,17,714,58
18,GALAŢI,"SCOALA PRIMARĂ SLOBOZIA BLĂNEASA",360,NEGRILEŞTI,77579,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:40:30",553,487,0,45,21,553,487,0,45,21,537,16,900,347,19,490,28
