precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VINTILĂ MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMITRU FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","TRĂISTARU CONSTANTIN-ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
17,DOLJ,"LICEUL GEORGE ST. MARINCU",455,"POIANA MARE",73736,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:13:00",1178,1169,2,5,2,640,633,0,5,2,604,36,1300,660,165,387,52
17,DOLJ,"ŞCOALA GENERALĂ 3 CENTRU",454,"POIANA MARE",73736,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:03:29",1392,1319,2,5,66,733,662,0,5,66,677,56,1500,767,257,380,40
17,DOLJ,"ŞCOALA GENERALĂ DRAGU",453,"POIANA MARE",73736,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:17",1486,1474,1,4,7,820,809,0,4,7,779,41,1600,780,198,556,25
17,DOLJ,"ŞCOALA GENERALĂ TRAISTARU",456,"POIANA MARE",73736,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:05:22",1538,1531,1,4,2,909,904,0,3,2,889,20,1700,791,297,515,77
17,DOLJ,"ŞCOALA GENERALĂ TUNARII NOI",457,"POIANA MARE",73736,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:42:34",391,386,0,5,0,215,210,0,5,0,203,12,500,285,66,129,8
17,DOLJ,"ŞCOALA GENERALĂ TUNARII VECHI",458,"POIANA MARE",73736,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:59:01",1022,1014,0,8,0,557,549,0,8,0,527,30,1100,543,187,300,40
17,DOLJ,"ŞCOALA PRIMARĂ I-IV SÎRBI",452,"POIANA MARE",73736,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:09",1375,1359,2,11,3,876,862,0,11,3,840,36,1422,546,287,539,14
