precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DINA VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PREDA VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","BORZ ALEXANDRU-VIRGIL-PARTIDUL SOCIAL DEMOCRAT-voturi","DIN CONSTANTIN-COSMIN-UNIUNEA SALVAȚI ROMÂNIA-voturi"
3,ARGEŞ,"CĂMINUL CULTURAL VALEA DANULUI",505,"VALEA DANULUI",19631,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:29:57",1630,1605,0,5,20,1093,1068,0,5,20,1063,30,1819,726,167,487,387,22
3,ARGEŞ,"CĂMINUL CULTURAL VERNEŞTI",506,"VALEA DANULUI",19631,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:38:57",870,855,1,4,10,600,585,1,4,10,588,12,900,300,104,251,217,16
