precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BEJAN VALENTIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","NICOLAE EMILIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","NEGOIŢĂ LIVIU-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","APOSTOL CĂTĂLIN-MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MIRCEA MARIANA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","CIULEI GEORGE-FORȚA DREPTEI-voturi","SAVA MARIAN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
14,CONSTANŢA,"CREŞA DIN STRADA TUDOR VLADIMIRESCU",283,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:18:17",969,958,0,8,3,461,450,0,8,3,444,17,1053,592,13,95,164,47,14,100,11
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 4",282,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:27:47",1386,1376,0,7,3,706,696,0,7,3,682,24,1528,822,39,185,183,89,14,149,23
14,CONSTANŢA,"LICEUL TEHNOLOGIC AXIOPOLIS CERNAVODĂ",285,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:18:24",1129,1115,2,11,1,547,535,0,11,1,533,14,1228,681,80,93,174,58,44,72,12
14,CONSTANŢA,"LICEUL TEHNOLOGIC AXIOPOLIS CERNAVODĂ",284,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:36:39",1350,1334,6,7,3,679,669,0,7,3,676,3,1483,804,65,150,236,67,26,119,13
14,CONSTANŢA,"LICEUL TEORETIC ANGHEL SALIGNY",280,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:58:30",1523,1506,3,9,5,767,753,0,9,5,749,18,1658,891,63,147,241,92,54,136,16
14,CONSTANŢA,"LICEUL TEORETIC ANGHEL SALIGNY",281,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:48:50",1420,1407,5,6,2,757,749,0,6,2,738,19,1560,803,76,151,277,84,44,83,23
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ MIRCEA ELIADE",286,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:22:35",1048,1030,3,13,2,489,474,0,13,2,479,10,1148,659,70,81,174,47,20,72,15
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ NR. 1",278,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:58:10",1281,1277,0,4,0,566,562,0,4,0,545,21,1411,845,10,80,247,90,20,94,4
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ NR. 1",277,"ORAŞ CERNAVODĂ",60776,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:31:12",1757,1752,0,4,1,824,819,0,4,1,797,25,1926,1102,32,111,267,195,12,167,13
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR.1",276,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:25:56",1525,1508,3,5,9,714,700,0,5,9,698,16,1665,951,44,153,219,99,36,137,10
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ NR. 2",279,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,P,P_SV,"2024-06-10 23:27:14",1335,1322,1,5,7,693,680,1,5,7,670,18,1480,777,51,173,216,83,41,98,8
