precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA UNIȚI PENTRU FLOREȘTI USR + ARI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL VERDE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi"
13,CLUJ,"CAMINUL CULTURAL TAUTI",473,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:50",241,231,2,6,2,124,116,0,6,2,123,1,258,134,20,63,8,9,3,11,0,1,6,2,0
13,CLUJ,"CLĂDIRE MULTIFUNCȚIONALĂ",467,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:58:51",1338,1322,8,8,0,548,537,3,8,0,542,6,1468,920,37,182,49,29,11,151,44,6,27,1,5
13,CLUJ,"CLĂDIRE MULTIFUNCȚIONALĂ",468,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:25:59",1606,1575,11,20,0,626,606,0,20,0,615,11,1720,1094,43,203,46,39,12,189,39,7,21,3,13
13,CLUJ,"GRĂDINIȚA CU PROGRAM PRELUNGIR FLOREȘTI",452,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:45:37",1827,1807,3,15,2,791,774,0,15,2,763,28,2006,1215,108,294,85,64,18,91,17,9,64,11,2
13,CLUJ,"GRĂDINIȚA CU PROGRAM PRELUNGIT FLOREȘTI",449,FLOREŞTI,57706,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:27:51",1783,1766,5,12,0,720,708,0,12,0,707,13,1996,1276,64,264,55,53,24,166,19,20,34,1,7
13,CLUJ,"GRĂDINIȚA CU PROGRAM PRELUNGIT FLOREȘTI",448,FLOREŞTI,57706,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:47:42",1857,1830,11,16,0,649,633,0,16,0,623,26,2039,1390,67,214,37,56,28,137,14,24,40,3,3
13,CLUJ,"GRĂDINIȚA CU PROGRAM PRELUNGIT FLOREȘTI",450,FLOREŞTI,57706,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:07:59",1778,1747,7,24,0,716,692,0,24,0,710,6,1956,1240,64,261,79,43,22,155,20,17,44,2,3
13,CLUJ,"GRĂDINIȚA CU PROGRAM PRELUNGIT FLOREȘTI",451,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:48:26",1902,1875,13,14,0,861,847,0,14,0,853,8,2075,1214,61,345,50,31,17,207,40,18,46,3,35
13,CLUJ,"GRADINITA NR.2",459,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:14:54",1799,1768,18,12,1,854,841,0,12,1,831,23,1971,1117,154,280,104,57,5,109,29,12,66,11,4
13,CLUJ,"GRADINITA NR.2",458,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:37",1673,1652,8,13,0,778,764,1,13,0,766,12,1820,1042,71,256,70,40,7,221,28,12,54,2,5
13,CLUJ,"PRIMĂRIA COMUNEI FLOREȘTI",453,FLOREŞTI,57706,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:57:33",1975,1953,0,21,1,829,807,0,21,1,747,82,2124,1295,147,267,37,50,12,106,12,11,46,52,7
13,CLUJ,"PRIMĂRIA COMUNEI FLOREȘTI",454,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:08:08",1686,1667,11,8,0,755,747,0,8,0,684,71,1852,1097,82,212,45,49,9,148,30,11,37,45,16
13,CLUJ,ȘCOALA,464,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:00",1558,1540,8,10,0,609,599,0,10,0,598,11,1702,1093,60,235,43,50,8,135,24,12,24,0,7
13,CLUJ,ȘCOALA,463,FLOREŞTI,57706,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 19:08:12",1870,1841,8,21,0,686,664,1,21,0,676,10,2041,1355,51,290,41,59,15,143,18,17,34,3,5
13,CLUJ,ȘCOALA,462,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:36:07",1917,1896,5,16,0,769,753,0,16,0,755,13,2120,1352,79,248,72,86,5,174,21,25,39,3,3
13,CLUJ,ȘCOALA,460,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:34:23",2002,1977,11,14,0,721,707,0,14,0,707,14,963,242,48,289,75,65,15,121,28,14,43,3,6
13,CLUJ,ȘCOALA,461,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:06:58",1998,1973,9,16,0,743,727,0,16,0,730,13,2163,1420,53,318,57,53,12,139,30,26,37,2,3
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”GHEORGHE ȘINCAI” FLOREȘTI",455,FLOREŞTI,57706,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:26:02",1069,1058,7,3,1,512,508,0,3,1,501,9,1183,671,85,184,45,38,6,70,9,9,54,0,1
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”GHEORGHE ȘINCAI” FLOREȘTI",456,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:53:34",1882,1843,19,20,0,785,764,1,20,0,772,13,2034,1249,66,297,67,55,11,179,28,18,41,7,3
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”GHEORGHE ȘINCAI” FLOREȘTI",457,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:46:33",1903,1872,15,16,0,790,774,0,16,0,774,16,2075,1285,42,319,69,59,7,175,26,23,42,4,8
13,CLUJ,"ȘCOALA GIMNAZIALĂ „GHEORGHE ȘINCAI” FLOREȘTI",470,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:02:33",1419,1394,9,16,0,614,598,0,16,0,602,12,1536,922,60,229,54,51,5,118,24,10,37,10,4
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”GHEORGHE ȘINCAI” FLOREȘTI-GRĂDINIȚA",465,FLOREŞTI,57706,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:53:05",1286,1269,9,8,0,513,505,0,8,0,507,6,1406,893,64,169,33,35,10,118,27,5,42,0,4
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”GHEORGHE ȘINCAI” FLOREȘTI-GRĂDINIȚA",466,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:17:23",1755,1732,4,19,0,758,739,0,19,0,752,6,1931,1173,70,309,43,37,8,182,45,9,39,1,9
13,CLUJ,"ȘCOALA – LICEU „DUMITRU TĂUȚAN”",469,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:29:34",1695,1674,7,14,0,690,676,0,14,0,674,16,1839,1149,49,233,57,59,7,149,40,25,45,5,5
13,CLUJ,"SCOALA LUNA DE SUS",472,FLOREŞTI,57706,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:53:22",1050,1030,2,10,8,607,589,0,10,8,595,12,1136,529,32,185,324,15,0,23,0,4,9,2,1
