precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ARMĂŞESCU COSTEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ZELCA MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CROITORU GEORGE-PARTIDUL SOCIAL DEMOCRAT-voturi","BULBOACĂ DAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
14,CONSTANŢA,"ȘCOALA CU CLS. I - IV NISTOREȘTI",514,PANTELIMON,62609,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:29",225,218,0,5,2,152,145,0,5,2,148,4,239,87,104,5,33,6
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR.1 PANTELIMON",513,PANTELIMON,62609,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:38:48",655,615,1,26,13,452,412,1,26,13,440,6,669,223,291,17,111,21
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR. 3 PANTELIMON DE JOS",515,PANTELIMON,62609,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:58:13",232,226,0,2,4,147,141,0,2,4,143,4,296,149,108,3,28,4
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR. 4 RUNCU",516,PANTELIMON,62609,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:57",383,377,0,2,4,266,260,0,2,4,262,4,409,143,180,3,76,3
