precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi"
18,GALAŢI,"CAMINUL CULTURAL",437,VLĂDEŞTI,77536,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:50",1200,1137,0,11,52,552,489,0,11,52,532,20,1317,765,339,112,79,2
18,GALAŢI,"GRĂDINIȚA ”ALBA CA ZĂPADA” BRĂNEȘTI",438,VLĂDEŞTI,77536,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:53:47",795,767,0,6,22,390,362,0,6,22,377,13,849,459,222,41,111,3
