precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"CAMINUL CULTURAL MAGIRESTI",427,MĂGIREŞTI,23387,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:10:39",1018,1008,0,2,8,553,543,0,2,8,519,24,1100,256,133,321,25,40
4,BACĂU,"SALA DE SPORT DIN SATUL ȘESURI",430,MĂGIREŞTI,23387,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:21",416,408,3,3,2,238,232,1,3,2,226,12,500,262,52,153,14,7
4,BACĂU,"SCOALA CU CLASELE I-IV PRAJESTII",428,MĂGIREŞTI,23387,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:20:21",476,472,0,3,1,239,235,0,3,1,224,15,500,261,35,172,16,1
4,BACĂU,"ŞCOALA CU CLASELE.I-IV STĂNEŞTI (CORP NOU)",429,MĂGIREŞTI,23387,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:08:32",488,478,0,5,5,227,217,0,5,5,220,7,500,273,89,113,10,8
4,BACĂU,"ŞCOALA CU CLASELE I-VIII VALEA ARINILOR",431,MĂGIREŞTI,23387,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:43:43",923,909,0,3,11,482,468,0,3,11,446,34,1001,521,214,189,36,7
